,date,notes,name
4840,2014-03-29,bruised right quadriceps (DNP),isaiahthomas
4841,2014-03-29,knee injury (DNP),galmekel
4842,2014-03-29,left ankle injury (DNP),anthonydavis
4843,2014-03-29,left knee tendinitis (DNP),ericgordon
4844,2014-03-29,right knee injury (DNP),jasonsmith
4845,2014-03-29,sore back (DNP),charlievillanueva
4846,2014-03-29,sprained left ankle (DNP),dwighthoward
4847,2014-03-29,torn meniscus in right knee / sprained right knee (P) (DNP),patrickbeverley
4848,2014-03-29,right foot inflammation (DNP),dannygreen
4849,2014-03-30,strained patellar tendon in left knee (DNP),anthonybennett
4850,2014-03-30,sprained left ankle (DNP),cjmiles
4851,2014-03-30,patellar tendinitis in right knee (DNP),sergeykarasev
4852,2014-03-30,knee injury (DNP),vitorfaverani
4853,2014-03-30,vertigo (DNP),paugasol
4854,2014-03-30,nerve root irritation (DNP),stevenash
4855,2014-03-30,torn ligament in left wrist / knee injury (CBC) (DNP),xavierhenry
4856,2014-03-30,sprained left ankle (DNP),andreikirilenko
4857,2014-03-30,back spasms (DNP),reggiejackson(b)
4858,2014-03-30,bruised pelvis (DNP),andrewbogut
4859,2014-03-30,strained right hamstring (DNP),davidlee
4860,2014-03-31,sprained left ankle (DNP),byronmullensbjmullens
4861,2014-03-31,right ankle injury (DNP),ersanilyasova
4862,2014-03-31,fractured left hand (DNP),natewolters
4863,2014-03-31,knee injury (DNP),vitorfaverani
4864,2014-03-31,back spasms (DNP),blakegriffin
4865,2014-03-31,strained left hamstring (DNP),dannygranger
4866,2014-03-31,left calf injury (DNP),jamalcrawford
4867,2014-03-31,strained left hamstring (DNP),dwyanewade
4869,2014-03-31,bruised right quadriceps (DNP),isaiahthomas
4870,2014-03-31,knee injury (DNP),amarestoudemireamarestoudemire
4871,2014-03-31,stomach virus (DNP),touremurrytouremurry
4872,2014-03-31,recovering from surgery on right knee to repair torn ACL (DNP),jjhickson
4873,2014-03-31,recovering from surgery on left knee to repair torn ACL (DNP),naterobinson
4874,2014-03-31,strained left groin (DNP),wilsonchandler
4875,2014-03-31,left knee tendinitis (DNP),ericgordon
4876,2014-03-31,right knee injury (DNP),jasonsmith
4877,2014-03-31,sprained right foot / rib injury (CBC) (DNP),aronbaynes
4878,2014-04-01,knee injury (DNP),galmekel
4879,2014-04-01,sprained left ankle (DNP),andreikirilenko
4880,2014-04-01,back injury (DNP),marcusthornton(t)
4881,2014-04-01,sprained left ankle (DNP),dwighthoward
4882,2014-04-01,sprained right knee (DNP),patrickbeverley
4884,2014-04-01,bruised pelvis (DNP),andrewbogut
4885,2014-04-01,strained right hamstring (DNP),davidlee
4886,2014-04-02,sprained left ankle (DNP),byronmullensbjmullens
4887,2014-04-02,sprained left ankle (DNP),joshmcroberts
4888,2014-04-02,right ankle injury (DNP),ersanilyasova
4889,2014-04-02,fractured left hand (DNP),natewolters
4890,2014-04-02,sprained right ankle (DNP),ojmayo
4891,2014-04-02,sprained AC joint in right shoulder (DNP),andersonvarejao
4892,2014-04-02,strained patellar tendon in left knee (DNP),anthonybennett
4893,2014-04-02,sprained left ankle (DNP),cjmiles
4894,2014-04-02,strained right Achilles tendon (DNP),averybradley
4895,2014-04-02,knee injury (DNP),vitorfaverani
4896,2014-04-02,strained left hamstring (DNP),dannygranger
4897,2014-04-02,left calf injury (DNP),jamalcrawford
4898,2014-04-02,stomach illness (DNP),aarongray
4899,2014-04-02,bruised right quadriceps (DNP),isaiahthomas
4900,2014-04-02,sore right calf (DNP),chriskaman
4901,2014-04-02,vertigo (DNP),paugasol
4902,2014-04-02,sprained ankle / nerve root irritation (P) (DNP),stevenash
4903,2014-04-02,torn ligament in left wrist (DNP),xavierhenry
4904,2014-04-02,sprained left ankle (DNP),andreikirilenko
4905,2014-04-02,recovering from surgery on right knee to repair torn ACL (DNP),jjhickson
4906,2014-04-02,recovering from surgery on left knee to repair torn ACL (DNP),naterobinson
4907,2014-04-02,strained left groin (DNP),wilsonchandler
4908,2014-04-02,sore back (DNP),solomonhill
4909,2014-04-02,left knee tendinitis (DNP),ericgordon
4910,2014-04-02,right knee injury (DNP),jasonsmith
4911,2014-04-02,sprained left ankle (DNP),dwighthoward
4912,2014-04-02,sprained right knee (DNP),patrickbeverley
4913,2014-04-02,rib injury (DNP),aronbaynes
4914,2014-04-02,strained lat (DNP),austindaye
4915,2014-04-02,right knee injury (DNP),andreiguodala
4916,2014-04-02,bruised pelvis (DNP),andrewbogut
4917,2014-04-02,strained right hamstring / right knee tendinitis (P) (DNP),davidlee
4918,2014-04-02,stomach virus (DNP),rayallen
4919,2014-04-03,left calf injury (DNP),jamalcrawford
4920,2014-04-03,knee injury (DNP),galmekel
4921,2014-04-03,strained lat (DNP),austindaye
4923,2014-04-04,sprained left ankle (DNP),byronmullensbjmullens
4924,2014-04-04,sprained left ankle (DNP),joshmcroberts
4925,2014-04-04,right knee injury (DNP),ekpeudoh
4926,2014-04-04,right ankle injury (DNP),ersanilyasova
4927,2014-04-04,fractured left hand (DNP),natewolters
4928,2014-04-04,sprained right ankle (DNP),ojmayo
4929,2014-04-04,right knee tendinitis (DNP),sergeykarasev
4930,2014-04-04,strained right Achilles tendon (DNP),averybradley
4931,2014-04-04,knee injury (DNP),vitorfaverani
4934,2014-04-04,bruised right quadriceps (DNP),isaiahthomas
4935,2014-04-04,sore right calf (DNP),chriskaman
4936,2014-04-04,vertigo (DNP),paugasol
4937,2014-04-04,torn ligament in left wrist (DNP),xavierhenry
4938,2014-04-04,sore left Achilles (DNP),nikolavucevic
4939,2014-04-04,knee injury (DNP),galmekel
4940,2014-04-04,recovering from surgery on right knee to repair torn ACL (DNP),jjhickson
4941,2014-04-04,recovering from surgery on left knee to repair torn ACL (DNP),naterobinson
4942,2014-04-04,strained left groin (DNP),wilsonchandler
4943,2014-04-04,sore back (DNP),solomonhill
4944,2014-04-04,left knee tendinitis (DNP),ericgordon
4945,2014-04-04,right knee injury (DNP),jasonsmith
4946,2014-04-04,sprained left ankle (DNP),dwighthoward
4947,2014-04-04,sprained right knee (DNP),patrickbeverley
4948,2014-04-04,rest / knee injury (DNP),russellwestbrook
4949,2014-04-04,sore right foot (DNP),kevinmartin
4950,2014-04-04,sore right ankle (DNP),nikolapekovic
4951,2014-04-04,bruised pelvis (DNP),andrewbogut
4952,2014-04-04,strained right hamstring (DNP),davidlee
4953,2014-04-05,sprained left ankle (DNP),byronmullensbjmullens
4954,2014-04-05,sprained left ankle (DNP),joshmcroberts
4955,2014-04-05,right knee injury (DNP),ekpeudoh
4956,2014-04-05,right ankle injury (DNP),ersanilyasova
4957,2014-04-05,sprained ankle (DNP),miroslavraduljica
4958,2014-04-05,fractured left hand (DNP),natewolters
4959,2014-04-05,sprained right ankle (DNP),ojmayo
4960,2014-04-05,right knee tendinitis (DNP),sergeykarasev
4961,2014-04-05,strained right Achilles tendon (DNP),averybradley
4962,2014-04-05,strained patella tendon in right knee (DNP),krishumphries
4964,2014-04-05,knee injury (DNP),vitorfaverani
4965,2014-04-05,back injury (DNP),stevenash
4966,2014-04-05,sore left Achilles (DNP),nikolavucevic
4967,2014-04-05,back spasms (DNP),kevinlove
4968,2014-04-05,sore right foot (DNP),kevinmartin
4969,2014-04-05,sore right ankle (DNP),nikolapekovic
4970,2014-04-05,sore right knee (DNP),shabazzmuhammad
4971,2014-04-06,strained left hamstring (DNP),dannygranger
4972,2014-04-06,left calf injury (DNP),jamalcrawford
4973,2014-04-06,hamstring injury (DNP),louiswilliamslouwilliams
4974,2014-04-06,bruised right knee (DNP),chrisandersen
4976,2014-04-06,bruised right quadriceps (DNP),isaiahthomas
4977,2014-04-06,sore/strained right calf (DNP),chriskaman
4978,2014-04-06,vertigo (DNP),paugasol
4979,2014-04-06,nerve root irritation (DNP),stevenash
4980,2014-04-06,knee injury (DNP),galmekel
4981,2014-04-06,recovering from surgery on right knee to repair torn ACL (DNP),jjhickson
4982,2014-04-06,recovering from surgery on left knee to repair torn ACL (DNP),naterobinson
4983,2014-04-06,sprained left ankle (DNP),tylawson
4984,2014-04-06,strained left groin (DNP),wilsonchandler
4985,2014-04-06,sore back (DNP),solomonhill
4986,2014-04-06,left knee tendinitis (DNP),ericgordon
4987,2014-04-06,right knee injury (DNP),jasonsmith
4988,2014-04-06,sprained left ankle (DNP),dwighthoward
4989,2014-04-06,sprained right knee (DNP),patrickbeverley
4990,2014-04-06,strained right hamstring / nerve irritation in right leg (P) (DNP),davidlee
4991,2014-04-06,strained right groin (DNP),jordanfarmar
4992,2014-04-07,right foot injury (out indefinitely),kentbazemore
4993,2014-04-08,hamstring injury (DNP),louiswilliamslouwilliams
4994,2014-04-08,stomach virus (DNP),udonishaslem
4995,2014-04-08,bruised right quadriceps (DNP),isaiahthomas
4996,2014-04-08,sore lower back (DNP),reggieevans
4997,2014-04-08,strained lower back (DNP),rudygay
4998,2014-04-08,sore/strained right calf (DNP),chriskaman
4999,2014-04-08,torn tendon in right foot (DNP),kentbazemore
5000,2014-04-08,vertigo (DNP),paugasol
5001,2014-04-08,knee injury (DNP),galmekel
5003,2014-04-08,surgery on neck to repair herniated disc (out for season) (date approximate),ryananderson
5004,2014-04-08,knee injury (DNP),joshsmith
5005,2014-04-08,sprained left ankle (DNP),dwighthoward
5006,2014-04-08,sprained right knee (DNP),patrickbeverley
5007,2014-04-08,knee injury (DNP),russellwestbrook
5008,2014-04-08,sprained right ankle (DNP),chasebudinger
5009,2014-04-08,sore right foot (DNP),kevinmartin
5010,2014-04-08,sore right ankle (DNP),nikolapekovic
5011,2014-04-09,sprained left ankle (DNP),byronmullensbjmullens
5012,2014-04-09,right knee injury (DNP),ekpeudoh
5013,2014-04-09,sprained ankle (DNP),miroslavraduljica
5014,2014-04-09,sprained right ankle (DNP),ojmayo
5015,2014-04-09,strained patella tendon in right knee (DNP),krishumphries
5016,2014-04-09,knee injury (DNP),vitorfaverani
5017,2014-04-09,strained left hamstring (DNP),dannygranger
5018,2014-04-09,left calf injury (DNP),jamalcrawford
5019,2014-04-09,sore right ankle (DNP),peroantic
5020,2014-04-09,bruised right knee (DNP),chrisandersen
5021,2014-04-09,stomach virus (DNP),udonishaslem
5022,2014-04-09,bruised right quadriceps (DNP),isaiahthomas
5023,2014-04-09,strained lower back (DNP),rudygay
5024,2014-04-09,sore left Achilles (DNP),nikolavucevic
5025,2014-04-09,right hip pointer (DNP),paulpierce
5026,2014-04-09,sprained right big toe (DNP),shaunlivingston
5027,2014-04-09,recovering from surgery on right knee to repair torn ACL (DNP),jjhickson
5028,2014-04-09,recovering from surgery on left knee to repair torn ACL (DNP),naterobinson
5029,2014-04-09,sprained left ankle (DNP),tylawson
5030,2014-04-09,strained left groin (DNP),wilsonchandler
5035,2014-04-09,back spasms (DNP),anthonydavis
5036,2014-04-09,left knee tendinitis (DNP),ericgordon
5037,2014-04-09,right knee injury (DNP),jasonsmith
5038,2014-04-09,patellar tendinitis in left knee (DNP),joshsmith
5039,2014-04-09,sprained right knee (DNP),patrickbeverley
5040,2014-04-09,sprained right ankle (DNP),chasebudinger
5041,2014-04-09,back spasms (DNP),josejuanbareajosebareajjbarea
5042,2014-04-09,sore right foot (DNP),kevinmartin
5043,2014-04-09,sore right ankle (DNP),nikolapekovic
5044,2014-04-10,knee injury (DNP),galmekel
5045,2014-04-10,recovering from surgery on right knee to repair torn ACL (DNP),jjhickson
5046,2014-04-10,recovering from surgery on left knee to repair torn ACL (DNP),naterobinson
5047,2014-04-10,sprained left ankle (DNP),tylawson
5048,2014-04-10,strained left groin (DNP),wilsonchandler
5049,2014-04-10,strained right hamstring / nerve irritation in right leg (P) (DNP),davidlee
5050,2014-04-11,sore right groin (DNP),kembawalker
5051,2014-04-11,right knee injury (DNP),ekpeudoh
5052,2014-04-11,sprained right ankle (DNP),ojmayo
5053,2014-04-11,back injury (DNP),luoldeng
5054,2014-04-11,bruised left shin (DNP),rajonrondo
5055,2014-04-11,knee injury (DNP),vitorfaverani
5056,2014-04-11,sore/strained right calf (DNP),chriskaman
5057,2014-04-11,torn tendon in right foot (DNP),kentbazemore
5058,2014-04-11,vertigo (DNP),paugasol
5059,2014-04-11,back injury / nerve root irritation (DNP),stevenash
5060,2014-04-11,surgery on left wrist and right knee (out indefinitely),xavierhenry
5061,2014-04-11,sore left Achilles (DNP),nikolavucevic
5062,2014-04-11,sore abdominal muscle (DNP),alananderson
5063,2014-04-11,sprained right big toe (DNP),shaunlivingston
5064,2014-04-11,back spasms (DNP),anthonydavis
5065,2014-04-11,left knee tendinitis (DNP),ericgordon
5066,2014-04-11,patellar tendinitis in left knee (DNP),joshsmith
5067,2014-04-11,sprained right knee (DNP),patrickbeverley
5068,2014-04-11,calf injury / rest (DNP),emanuelginobilimanuginobili
5069,2014-04-11,food poisoning (DNP),mattbonner
5070,2014-04-11,placed on IL for rest,timduncan
5071,2014-04-11,sprained ankle (DNP),gorandragic
5072,2014-04-11,sprained right ankle (DNP),chasebudinger
5073,2014-04-11,hyperextended right elbow (DNP),kevinlove
5074,2014-04-11,sore right foot (DNP),kevinmartin
5075,2014-04-11,sore right ankle (DNP),nikolapekovic
5076,2014-04-11,right knee tendinitis (DNP),andreiguodala
5077,2014-04-11,left knee injury (DNP),jermaineoneal
5078,2014-04-11,strained patellar tendon in left knee (DNP),anthonybennett
5079,2014-04-11,sprained left ankle (DNP),cjmiles
5080,2014-04-12,sore right heel (DNP),jarvisvarnado
5081,2014-04-12,sore right groin (DNP),kembawalker
5082,2014-04-12,hip injury (DNP),brandonknight
5083,2014-04-12,right knee injury (DNP),ekpeudoh
5084,2014-04-12,sprained right ankle (DNP),ojmayo
5085,2014-04-12,strained patellar tendon in left knee (DNP),anthonybennett
5086,2014-04-12,sprained left ankle (DNP),cjmiles
5087,2014-04-12,back injury (DNP),luoldeng
5088,2014-04-12,sprained left ankle (DNP),jaredsullinger
5089,2014-04-12,hyperextended right knee (DNP),jerrydbayless
5090,2014-04-12,strained patella tendon in right knee (DNP),krishumphries
5091,2014-04-12,bruised left shin (DNP),rajonrondo
5092,2014-04-12,knee injury (DNP),vitorfaverani
5093,2014-04-12,strained left hamstring (DNP),dannygranger
5094,2014-04-12,sprained right ankle (DNP),peroantic
5095,2014-04-12,knee injury (DNP),marvinwilliams
5096,2014-04-12,bruised right quadriceps (DNP),isaiahthomas
5097,2014-04-12,knee injury (DNP),galmekel
5098,2014-04-12,recovering from surgery on right knee to repair torn ACL (DNP),jjhickson
5099,2014-04-12,recovering from surgery on left knee to repair torn ACL (DNP),naterobinson
5100,2014-04-12,sprained left ankle (DNP),tylawson
5101,2014-04-12,back spasms (DNP),anthonydavis
5102,2014-04-12,sprained left ankle (DNP),brianroberts
5103,2014-04-12,left knee tendinitis (surgery) (DNP),ericgordon
5104,2014-04-12,right knee injury (DNP),jasonsmith
5106,2014-04-12,sore wrist (DNP),chandlerparsons
5107,2014-04-13,strained lower back (DNP),rudygay
5108,2014-04-13,sore/strained right calf (DNP),chriskaman
5109,2014-04-13,torn tendon in right foot (DNP),kentbazemore
5110,2014-04-13,vertigo (DNP),paugasol
5111,2014-04-13,back injury / nerve root irritation (DNP),stevenash
5112,2014-04-13,strained left groin (DNP),jameernelson
5113,2014-04-13,sore left Achilles (DNP),nikolavucevic
5114,2014-04-13,sore abdominal muscle (DNP),alananderson
5115,2014-04-13,patellar tendinitis in left knee (DNP),joshsmith
5116,2014-04-13,respiratory ailment (DNP),landryfields
5117,2014-04-13,sprained right ankle (DNP),chasebudinger
5118,2014-04-13,sore right ankle (DNP),nikolapekovic
5119,2014-04-14,right knee injury (DNP),ekpeudoh
5120,2014-04-14,sprained right ankle (DNP),ojmayo
5121,2014-04-14,sprained left ankle (DNP),jaredsullinger
5122,2014-04-14,hyperextended right knee (DNP),jerrydbayless
5123,2014-04-14,strained patella tendon in right knee (DNP),krishumphries
5124,2014-04-14,knee injury (DNP),vitorfaverani
5125,2014-04-14,knee injury (DNP),marvinwilliams
5126,2014-04-14,sore/strained right calf (DNP),chriskaman
5127,2014-04-14,torn tendon in right foot (DNP),kentbazemore
5128,2014-04-14,vertigo (DNP),paugasol
5129,2014-04-14,back injury / nerve root irritation (DNP),stevenash
5130,2014-04-14,strained left groin (DNP),jameernelson
5131,2014-04-14,sore left Achilles (DNP),nikolavucevic
5132,2014-04-14,back spasms (DNP),anthonydavis
5133,2014-04-14,sprained left ankle (DNP),brianroberts
5134,2014-04-14,left knee tendinitis (DNP),ericgordon
5135,2014-04-14,right knee injury (DNP),jasonsmith
5137,2014-04-14,respiratory ailment (DNP),landryfields
5139,2014-04-14,sprained right ankle (DNP),chasebudinger
5140,2014-04-14,sore right ankle (DNP),nikolapekovic
5141,2014-04-14,right knee injury (DNP),ronnyturiaf
5142,2014-04-15,strained left hamstring (DNP),dannygranger
5143,2014-04-15,torn labrum in right shoulder (DNP),carmeloanthony
5144,2014-04-15,sore abdominal muscle (DNP),alananderson
5145,2014-04-15,sprained right big toe (DNP),shaunlivingston
5146,2014-04-15,torn ACL in left knee (out for season),danilogallinari
5147,2014-04-15,recovering from surgery on right knee to repair torn ACL (DNP),jjhickson
5148,2014-04-15,recovering from surgery on left knee to repair torn ACL (DNP),naterobinson
5149,2014-04-15,sprained left ankle (DNP),tylawson
5150,2014-04-16,right knee injury (DNP),ekpeudoh
5151,2014-04-16,sprained right ankle (DNP),ojmayo
5153,2014-04-16,sprained left ankle (DNP),jaredsullinger
5154,2014-04-16,hyperextended right knee (DNP),jerrydbayless
5155,2014-04-16,strained patella tendon in right knee (DNP),krishumphries
5156,2014-04-16,knee injury (DNP),vitorfaverani
5158,2014-04-16,strained left hamstring (DNP),dannygranger
5162,2014-04-16,knee injury (DNP),eneskanter
5163,2014-04-16,knee injury (DNP),marvinwilliams
5164,2014-04-16,torn labrum in right shoulder (DNP),carmeloanthony
5165,2014-04-16,ankle injury (DNP),raymondfelton
5166,2014-04-16,sore/strained right calf (DNP),chriskaman
5167,2014-04-16,torn tendon in right foot (DNP),kentbazemore
5168,2014-04-16,surgery on right foot to repair torn tendon,kentbazemore
5169,2014-04-16,vertigo (DNP),paugasol
5170,2014-04-16,back injury / nerve root irritation (DNP),stevenash
5171,2014-04-16,strained left groin (DNP),jameernelson
5172,2014-04-16,sore left Achilles (DNP),nikolavucevic
5173,2014-04-16,knee injury (DNP),galmekel
5174,2014-04-16,sore abdominal muscle (DNP),alananderson
5175,2014-04-16,right knee tendinitis (DNP),deronwilliams
5176,2014-04-16,right calf injury (DNP),joejohnson
5179,2014-04-16,sprained right big toe (DNP),shaunlivingston
5180,2014-04-16,recovering from surgery on right knee to repair torn ACL (DNP),jjhickson
5181,2014-04-16,recovering from surgery on left knee to repair torn ACL (DNP),naterobinson
5182,2014-04-16,sprained left ankle (DNP),tylawson
5183,2014-04-16,back spasms (DNP),anthonydavis
5184,2014-04-16,left knee tendinitis (DNP),ericgordon
5185,2014-04-16,right knee injury (DNP),jasonsmith
5186,2014-04-16,patellar tendinitis in left knee (DNP),joshsmith
5187,2014-04-16,respiratory ailment (DNP),landryfields
5190,2014-04-16,ankle injury (DNP),gorandragic
5191,2014-04-16,sprained right ankle (DNP),chasebudinger
5192,2014-04-16,back spasms (DNP),josejuanbareajosebareajjbarea
5193,2014-04-16,sore right ankle (DNP),nikolapekovic
5194,2014-04-16,fractured right rib (DNP),andrewbogut
5196,2014-04-16,calf injury (DNP),nemanjanedovic
5199,2014-04-19,respiratory ailment (DNP),landryfields
5200,2014-04-19,fractured right rib (DNP),andrewbogut
5201,2014-04-20,sprained right ankle (DNP),michaelbeasley
5202,2014-04-20,knee injury (DNP),galmekel
5203,2014-04-21,fractured right rib (DNP),andrewbogut
5204,2014-04-23,knee injury (DNP),galmekel
5205,2014-04-24,fractured right rib (DNP),andrewbogut
5206,2014-04-26,knee injury (DNP),galmekel
5207,2014-04-27,back spasms (DNP),landryfields
5208,2014-04-27,fractured right rib (DNP),andrewbogut
5209,2014-04-28,strained plantar fascia in left foot (DNP),aljefferson
5210,2014-04-28,knee injury (DNP),galmekel
5211,2014-04-29,fractured right rib (DNP),andrewbogut
5212,2014-04-30,surgery on left big toe to remove bone spurs (out indefinitely),joshmcroberts
5213,2014-04-30,knee injury (DNP),galmekel
5214,2014-05-01,fractured right rib (DNP),andrewbogut
5215,2014-05-02,arthroscopic surgery on left knee (out indefinitely),joakimnoah
5216,2014-05-02,knee injury (DNP),galmekel
5217,2014-05-03,fractured right rib (DNP),andrewbogut
5218,2014-05-04,knee injury (DNP),galmekel
5219,2014-05-06,surgery on right shoulder to repair torn labrum (out indefinitely),michaelcarterwilliams
5220,2014-05-12,strained groin (DNP),mauricewilliamsmowilliams
5221,2014-05-13,surgery for removal of tonsils and adnoids (out indefinitely),anthonybennett
5222,2014-05-14,strained groin (DNP),mauricewilliamsmowilliams
5223,2014-05-15,arthroscopic surgery on right knee to remove scar tissue (out indefinitely),tyrekeevans
5224,2014-05-16,left calf injury (out indefinitely),sergeibaka
5225,2014-05-18,strep throat (DTD),evanturner
5226,2014-05-24,arthroscopic surgery on right wrist to remove scar tissue (out indefinitely),geraldhenderson(b)
5227,2014-05-27,surgery on left ankle to remove bone spurs and right ankle to remove loose bone fragment (out indefinitely),deronwilliams
5228,2014-06-28,microdisectomy surgery on lower back to repair herniated disc (out indefinitely),martellwebster
5229,2014-07-01,right shoulder injury (surgery) (out indefinitely),patrickmillspattymills
5230,2014-07-02,stress fracture in right leg (out indefinitely),emanuelginobilimanuginobili
5231,2014-07-05,right Achilles tendon injury (out indefinitely),pierrejackson
5232,2014-07-14,arthroscopic surgery on right knee (out indefinitely),perryjonesiii
5233,2014-07-22,surgery on right thumb to repair torn ligament (out indefinitely),thomasrobinson
5234,2014-08-01,surgery on right leg to repair fractured tibia and fibula (out indefinitely),paulgeorge
5235,2014-08-11,fractured right hand (out indefinitely),markelbrown
5236,2014-08-15,arthroscopic surgery on left wrist (out indefinitely),isaiahthomas
5237,2014-08-15,arthroscopic surgery on right big toe (out indefinitely),shaunlivingston
5238,2014-09-02,surgery to repair sports hernia (out indefinitely),noahvonleh
5239,2014-09-26,surgery on fractured left finger (out indefinitely),rajonrondo
5240,2014-09-27,strained right hamstring (out indefinitely),tyrekeevans
5241,2014-09-29,surgery to repair atrial flutter (out indefinitely),justinhamilton(b)
5242,2014-10-06,surgery on right thumb to repair torn ligament (out indefinitely),nickyoung
5243,2014-10-07,fractured right pinky finger (out indefinitely),alexlen
5244,2014-10-09,fractured left foot (out indefinitely),mitchmcgary
5245,2014-10-11,surgery on left wrist to repair fracture (out indefinitely) (date approximate),bradleybeal
5246,2014-10-13,sprained MCL in right knee (out indefinitely),johnnyobryantiii
5247,2014-10-13,fractured right toe (out indefinitely),kevindurant
5248,2014-10-14,stress fracture in lower back (out indefinitely),jodiemeeks
5249,2014-10-16,surgery on right toe to repair fracture (out indefinitely),kevindurant
5250,2014-10-17,surgery (out indefinitely),larrysanders
5251,2014-10-23,back injury (out for season),stevenash
5252,2014-10-23,fractured left thumb (out indefinitely),tjwarren
5253,2014-10-25,surgery to repair facial fracture (out indefinitely),victoroladipo
5254,2014-10-27,bruised right foot (DTD),cjwatson
5255,2014-10-28,fractured tibia in right leg (out for season),juliusrandle
5256,2014-10-28,sore right hamstring (DTD),ryankelly
5257,2014-10-28,concussion (DTD),wayneellington
5258,2014-10-29,back injury (DTD),lucrichardmbahamoutelucmbahamoute
5259,2014-10-29,recovering from surgery on right shoulder to repair torn labrum (DNP),michaelcarterwilliams
5260,2014-10-29,hamstring injury (DTD),dannygranger
5261,2014-10-29,surgery on right leg to repair fractured tibia (out for season),juliusrandle
5263,2014-10-29,sprained right ankle (DTD),davidwest
5264,2014-10-29,sprained MCL in left knee (DTD),anthonymorrow
5265,2014-10-29,sprained lower back (DTD),jeremylamb
5266,2014-10-29,sprained right ankle (DTD),reggiejackson(b)
5267,2014-10-29,ankle injury (DTD),glennrobinsoniii
5269,2014-10-29,sprained right ankle (DNP),glenricejr
5270,2014-10-30,fractured right hand (DTD),russellwestbrook
5271,2014-10-31,recovering from surgery on right shoulder to repair torn labrum (DTD),michaelcarterwilliams
5273,2014-10-31,knee injury (DNP),derrickwilliams
5274,2014-11-01,sprained left ankle (DTD),derrickrose
5275,2014-11-01,surgery on right hand to repair fracture (out indefinitely),russellwestbrook
5276,2014-11-02,bruised ribs (DTD),jamalcrawford
5279,2014-11-03,thigh injury (DNP),tarikblack
5282,2014-11-04,sprained left finger (DTD),lukebabbitt
5283,2014-11-04,sprained left foot (DTD),andreroberson
5284,2014-11-05,sore left foot (DTD),rodneystuckey
5285,2014-11-05,strained right hamstring (DTD),luigidatomegigidatome
5286,2014-11-05,strained left quadriceps (DTD),udonishaslem
5287,2014-11-06,rest (DTD),emanuelginobilimanuginobili
5288,2014-11-06,strained right groin (DTD),marcobelinelli
5289,2014-11-06,rest (DTD),timduncan
5290,2014-11-07,left knee injury (DTD),malcolmthomas(b)
5291,2014-11-07,sprained left ankle (DTD),nerlensnoel
5292,2014-11-07,sprained right ankle (DTD),pabloprigioni
5293,2014-11-07,migraine headache (DTD),cjmiles
5294,2014-11-07,bruised right knee (DTD),perryjonesiii
5296,2014-11-08,sprained left ankle (DNP),marcussmart
5297,2014-11-08,surgery on left hand to remove screw,rajonrondo
5300,2014-11-08,bruised knee (DTD),anthonybennett
5301,2014-11-08,sprained left ankle (DNP),rickyrubio
5302,2014-11-09,sore right hamstring (DTD),ryankelly
5303,2014-11-09,sprained rotator cuff in right shoulder (DTD),roydevynmarbleroymarble(devyn)
5304,2014-11-09,sprained right hand (DTD),klaythompson
5307,2014-11-11,sore right knee (DNP),khrismiddleton
5308,2014-11-11,shoulder injury (DTD),darrencollison
5313,2014-11-13,sore lower back (DTD),alexeyshved
5317,2014-11-14,sore right knee (DNP),khrismiddleton
5318,2014-11-14,rest (DTD),amarestoudemireamarestoudemire
5320,2014-11-14,bruised right knee (DNP),randyfoye
5323,2014-11-14,groin injury (DNP),troydaniels
5324,2014-11-15,strained left hamstring (DTD),derrickrose
5325,2014-11-15,strained right calf (DTD),cjmiles
5326,2014-11-16,bruised right hip (DTD),imanshumpert
5328,2014-11-16,fractured left foot (DTD),aarongordon
5330,2014-11-17,sprained right wrist (DTD),luoldeng
5332,2014-11-17,concussion (DTD),garyneal
5333,2014-11-17,torn right hamstring (out indefinitely),ryankelly
5334,2014-11-18,bruised left thigh (DTD),larrysanders
5335,2014-11-18,right knee injury (out indefinitely),cleanthonyearly
5339,2014-11-19,flu / stomach virus (DTD),tonyallen
5340,2014-11-19,sprained right ankle (DNP),pjhairston
5341,2014-11-19,bruised left heel (DTD),evanfournier
5343,2014-11-19,sprained right ankle (DTD),jamesjohnson
5344,2014-11-19,strained right knee (DTD),dwighthoward
5345,2014-11-19,stomach virus (DTD),mattbonner
5347,2014-11-19,sprained right wrist (DTD),nikolapekovic
5348,2014-11-19,hip injury (out for season),ronnyturiaf
5352,2014-11-21,flu / stomach virus (DNP),quincypondexter
5358,2014-11-21,fractured right wrist (DTD),kevinmartin
5359,2014-11-21,sprained right ankle (DTD),jeramigrant
5361,2014-11-22,strained right calf (DTD),tobiasharris
5363,2014-11-22,left hamstring injury (DNP),ottoporterjr
5365,2014-11-23,strained left shoulder (DTD),carlosboozer
5367,2014-11-24,strained left calf (DTD),mattbarnes
5368,2014-11-24,torn left Achilles tendon (DTD),xavierhenry
5369,2014-11-24,sprained left ankle (DTD),royhibbert
5372,2014-11-25,bruised left quadriceps (DTD),darrencollison
5373,2014-11-25,hyperextended left thumb (DTD),brandonjennings
5374,2014-11-25,surgery on right wrist to repair fracture (out indefinitely),kevinmartin
5375,2014-11-25,plantar faciitis in right foot (DTD),nenenenehilariomaybynerhilario
5376,2014-11-26,sprained left foot (DTD),johnhenson
